job_title,job_location,job_department,job_url,first_seen
Account Payable Officer,"Jakarta, Indonesia",Finance,https://careers.vidio.com/careers/534-account-payable-officer-jakarta-indonesia,19/10/2023 08:49:56
KOL Planner - Super Fantasy,"Jakarta, Indonesia",Sales & Marketing,https://careers.vidio.com/careers/522-kol-planner-super-fantasy-jakarta-indonesia,19/10/2023 08:49:56
Assistant Accounting Manager,"Jakarta, Indonesia",Finance,https://careers.vidio.com/careers/505-assistant-accounting-manager-jakarta-indonesia,19/10/2023 08:49:56
Product Manager (Discovery),"Jakarta, Indonesia",Product Development,https://careers.vidio.com/careers/485-product-manager-discovery-jakarta-indonesia,19/10/2023 08:49:56
Senior CRM Specialist,"Jakarta, Indonesia",Sales & Marketing,https://careers.vidio.com/careers/509-senior-crm-specialist-jakarta-indonesia,19/10/2023 08:49:56
Product Manager Platform,"Jakarta, Indonesia",Product Development,https://careers.vidio.com/careers/487-product-manager-platform-jakarta-indonesia,19/10/2023 08:49:56
CRM Specialist,"Jakarta, Indonesia",Sales & Marketing,https://careers.vidio.com/careers/529-crm-specialist-jakarta-indonesia,19/10/2023 08:49:56
Full Stack Engineering - Super Fantasy,"Jakarta, Indonesia",Engineering Operations,https://careers.vidio.com/careers/530-full-stack-engineering-super-fantasy-jakarta-indonesia,19/10/2023 08:49:56
Media Assistant Manager (Media Planner),"Jakarta, Indonesia",Sales & Marketing,https://careers.vidio.com/careers/515-media-assistant-manager-media-planner-jakarta-indonesia,19/10/2023 08:49:56
Data Analyst,"Jakarta, Indonesia",Software Engineering,https://careers.vidio.com/careers/34-data-analyst-jakarta-indonesia,19/10/2023 08:49:56
Full-Stack Engineer,"Jakarta, Indonesia",Software Engineering,https://careers.vidio.com/careers/2-full-stack-engineer-jakarta-indonesia,19/10/2023 08:49:56
Manager - Creative Content Marketing,"Jakarta, Indonesia",Sales & Marketing,https://careers.vidio.com/careers/400-manager-creative-content-marketing-jakarta-indonesia,19/10/2023 08:49:56
Creative Strategist,"Jakarta, Indonesia",Sales & Marketing,https://careers.vidio.com/careers/284-creative-strategist-jakarta-indonesia,19/10/2023 08:49:56
Senior Android Engineer,"Jakarta, Indonesia",Mobile Engineering,https://careers.vidio.com/careers/356-senior-android-engineer-jakarta-indonesia,19/10/2023 08:49:56
