job_title,job_location,job_department,job_url,first_seen,base_salary,job_type,job_level,job_apply_end_date,last_seen,is_active,company,company_url,job_board,job_board_url
3PL Operations Monitoring,Bandung,Operation,https://evermos.com/home/karir/?jobId=1y0QdFhhgBKu,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Account Manager (Everpro),Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=2efzyIPM-zES,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Ads Service Sales Internship,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=6fKAmGOx4cyA,22/08/2024 10:01:41,,Intern,,,,True,Evermos,https://evermos.com/,N/A,N/A
Ads Specialist,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=nUhH1Js2sSiT,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Assistant Manager of Finance Project,Bandung,Finance,https://evermos.com/home/karir/?jobId=a9vPRV1jVFPL,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Brand Manager,Bandung,New Business Initiative,https://evermos.com/home/karir/?jobId=vhSPRP9poURv,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Campaign Operations Internship,Bandung,SBU Evermos,https://evermos.com/home/karir/?jobId=q8BL04QgIaL7,22/08/2024 10:01:41,,Intern,,,,True,Evermos,https://evermos.com/,N/A,N/A
Corporate Development Manager,Jakarta,Corporate Development,https://evermos.com/home/karir/?jobId=bDQKtChhqFDp,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Cyber & Information Security Associate Manager,Bandung,Social Impact,https://evermos.com/home/karir/?jobId=8CfvGl0O1u9L,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Data Analyst,Bandung,Technology - Product,https://evermos.com/home/karir/?jobId=gNItySjc0Jp3,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
ERP Financial Product Analyst,Bandung,Technology - Product,https://evermos.com/home/karir/?jobId=oaqXjohKimO7,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Freelance Finance & Accounting,Bandung,Finance,https://evermos.com/home/karir/?jobId=3gtRIYiqBG2-,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Frontend Engineer,Bandung,Technology - Engineering,https://evermos.com/home/karir/?jobId=pQigyEXruu8S,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
General Trade National Sales Manager,Bandung,New Business Initiative,https://evermos.com/home/karir/?jobId=EBRr7Tyevo7S,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Internship - Marketplace Enabler,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=BkBWamsPHVer,22/08/2024 10:01:41,,Intern,,,,True,Evermos,https://evermos.com/,N/A,N/A
Internship Product Analyst,Bandung,Technology - Product,https://evermos.com/home/karir/?jobId=iRFXBqNBaa11,22/08/2024 10:01:41,,Intern,,,,True,Evermos,https://evermos.com/,N/A,N/A
Internship Sales Operation,Bandung,SBU Evermos,https://evermos.com/home/karir/?jobId=pjdKYPSR_ery,22/08/2024 10:01:41,,Intern,,,,True,Evermos,https://evermos.com/,N/A,N/A
Journey Strategist,Bandung,Product Journey,https://evermos.com/home/karir/?jobId=kpXJtiEdK89l,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Leads Generation Internship,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=QnavSy5XkMMx,22/08/2024 10:01:41,,Intern,,,,True,Evermos,https://evermos.com/,N/A,N/A
Logistic Operations Supervisor,Bandung,Operation,https://evermos.com/home/karir/?jobId=ut6qODBfaibT,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Logistic Project & Partnership,Bandung,Operation,https://evermos.com/home/karir/?jobId=8hpe4bzB_8LR,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Organization Development & Performance Management Specialist,Bandung,People,https://evermos.com/home/karir/?jobId=3JJBOXEvz22R,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
People Partner,Bandung,People,https://evermos.com/home/karir/?jobId=sNLacJ3_BM_I,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Project Manager (Import Products),Jakarta,New Business Initiative,https://evermos.com/home/karir/?jobId=ExRLaOv3qGuG,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Project Manager - Beauty Products,Jakarta,New Business Initiative,https://evermos.com/home/karir/?jobId=Lq2syCaEZrBG,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Project Manager Financing,Bandung,New Business Initiative,https://evermos.com/home/karir/?jobId=XSqNh0rOu-V8,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Rewards & People Services Sr Manager,Bandung,People,https://evermos.com/home/karir/?jobId=HYDeHzPdxBiw,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Associate (Jawa Tengah),Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=FkyyusRbFAeL,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Associate - Ads Service,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=HDjgJsEvejIB,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Associate - Jakarta & Banten Area,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=Y4dKQQWPiejE,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Associate - Jawa Barat Area,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=AgrxHQhkJv9b,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Associate - Jawa Tengah Area,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=pRumRtJbPKyJ,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Associate - Jawa Timur Area,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=8iKaOiEr1gb9,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Lead (Jawa Barat),Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=WX9jntjLHcac,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Lead - Sumatera Area,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=nuxSGex9Fcjs,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales & Community Strategy Manager,Bandung,SBU Everpro,https://evermos.com/home/karir/?jobId=hjZ37MjCfpqM,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales Acquisition - Offline Agent,Jakarta,SBU Everpro,https://evermos.com/home/karir/?jobId=UltnMtmF8UIm,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales Lead (Tasik),Bandung,SBU Evermos,https://evermos.com/home/karir/?jobId=nnXKh9tvQHoX,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales Manager GT (Kebutuhan Pokok),Bandung,New Business Initiative,https://evermos.com/home/karir/?jobId=QSbXnX8D41cs,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales Representative (Bandung),Bandung,SBU Evermos,https://evermos.com/home/karir/?jobId=srqZh3wE2VHC,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sales Representative (Jabodetabek),Bandung,SBU Evermos,https://evermos.com/home/karir/?jobId=7vuPP-QnjS9-,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Salesman GT - Area Serang (Kebutuhan Pokok),Bandung,New Business Initiative,https://evermos.com/home/karir/?jobId=KnO-k30_t6ay,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
Senior Business Development (Commercial),Jakarta,Commercial,https://evermos.com/home/karir/?jobId=iLQLLqzrQ_ba,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Sr Manager Project Tribe,Bandung,New Business Initiative,https://evermos.com/home/karir/?jobId=9zWbsXDAcX97,22/08/2024 10:01:41,,Full Time,,,,True,Evermos,https://evermos.com/,N/A,N/A
Strategy & Operations Manager,Bandung,SBU Evermos,https://evermos.com/home/karir/?jobId=AsLNWma_LWs2,22/08/2024 10:01:41,,Contract,,,,True,Evermos,https://evermos.com/,N/A,N/A
